_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3001,c_b539,Comune di Campogalliano,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,15,9,9
3002,c_b540,Comune di Champorcher,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,medium,4,4,4
3003,c_b541,Comune di Campolattaro,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap,low,7,7,16
3004,c_b542,Comunita' Montana del Taburno,Pubbliche Amministrazioni,ok,WordPress,"jQuery,React",WordPress,Bootstrap Italia,high,18,3,37
3005,c_b542A,Comune di Campoli del Monte Taburno,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,28,8,10
3006,c_b543,Comune di Campoli Appennino,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3007,c_b544,Comune di Campolieto,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3008,c_b546,Comune di Campolongo Maggiore,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
3009,c_b549,Comune di Campomaggiore,Pubbliche Amministrazioni,ok,Laravel,,,Bootstrap Italia,medium,5,3,5
3010,c_b550,Comune di Campomarino,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,25,5,11
3011,c_b551,Comune di Campomorone,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3012,c_b553,Comune di Campo nell'Elba,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,17,16,9
3013,c_b554,Comune di Camponogara,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
3014,c_b555,Comune di Campora,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,3,2,1
3015,c_b556,Comune di Camporeale,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,10,21,10
3016,c_b557,Comune di Camporgiano,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
