Codice_IPA,Denominazione_ente,Tipologia,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
istsc_agic83000q,ISTITUTO COMPRENSIVO - IC G.VERGA,Pubbliche Amministrazioni,WordPress,"React,Angular,jQuery",WordPress,Bootstrap Italia,high,70,12,78
istsc_clic815002,ISTITUTO COMPRENSIVO - ' NINO DI MARIA ' SOMMATINO,Pubbliche Amministrazioni,WordPress,"React,Angular,jQuery",WordPress,Bootstrap Italia,high,68,13,77
istsc_pdic85000p,ISTITUTO COMPRENSIVO - ISTIT. COMPRENSIVO ABANO TERME,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
istsc_pdic86800x,ISTITUTO COMPRENSIVO - DI TEOLO,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
istsc_viic88200g,ISTITUTO COMPRENSIVO - IC 2 BASSANO DEL GRAPPA,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
istsc_vips010007,LICEO SCIENTIFICO - LS JACOPO DA PONTE,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
istsc_vitd09000x,ISTITUTO TECNICO COMMERCIALE - ITC 'G. PIOVENE',Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
istsc_vric844005,ISTITUTO COMPRENSIVO - IC MONTEFORTE D'ALPONE,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
itldm,Istituto Tecnico Luigi Di Maggio,Pubbliche Amministrazioni,WordPress,"Angular,React,jQuery",WordPress,Bootstrap,high,61,34,75
l_686,Comune di Varmo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
ldibc,Laboratorio di Diagnostica per I Beni Culturali,Pubbliche Amministrazioni,Angular,"React,Stimulus",,,medium,26,9,22
lqaps_,La Quiete Azienda Pubblica di Servizi alla Persona,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
obpfic,Organismo Bilaterale per La Formazione in Campania,Gestori di Pubblici Servizi,WordPress,"Angular,React,jQuery",WordPress,,high,26,20,38
odal_01,Ordine Degli Avvocati di Lecce,Pubbliche Amministrazioni,ASP.NET,"Angular,React,jQuery",,Bootstrap,high,13,7,20
odmvpbl,Ordine Dei Medici Veterinari della Provincia di Belluno,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
p_RO,Provincia di Rovigo,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
p_bl,Provincia di Belluno,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
rnsiv,Riserva Naturale Statale Isola di Vivara,Pubbliche Amministrazioni,Angular,"React,Stimulus",,,medium,26,10,20
sstaa,Sta - Strutture Trasporto Alto Adige Spa,Societa' in Conto Economico Consolidato,Angular,"React,jQuery",,,medium,13,9,16
uc_adgua,Unione dei Comuni Adige Gua',Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
uc_bvvi,Unione Comuni del Basso Vicentino,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
udcdbR,Unione Dei Comuni della Brenta,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
uirbf,Comunita' Riviera Friulana,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
uma,Unione Montana Astico,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
uticana,Comunita' di montagna Canal del Ferro e Val Canale,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
utidt,Comunita' di Montagna del Natisone e Torre,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
utigemo,Comunita'  di Montagna del Gemonese,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
utinat,COMUNITA' DEL FRIULI ORIENTALE,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
vsspa,Veneto Strade Spa,Societa' in Conto Economico Consolidato,Angular,React,,,medium,15,9,12
